# i si j sj a b distance p sign Re(class) Im(class) Re(target) Im(target) Re(sign_class) Im(sign_class) residual
1 0 29 1 1 93 28 60 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 30 1 1 94 29 61 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 31 1 1 95 30 62 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 32 1 1 96 31 63 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 33 1 1 97 32 64 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 34 1 1 98 31 63 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 35 1 1 99 30 62 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 36 1 1 100 29 61 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 37 1 1 101 28 60 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 38 1 1 102 27 59 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 39 1 1 103 26 58 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 40 1 1 104 25 57 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 41 1 1 105 24 56 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 42 1 1 106 23 55 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 43 1 1 107 22 54 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 44 1 1 108 21 53 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 45 1 1 109 20 52 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 46 1 1 110 19 51 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 47 1 1 111 18 50 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 48 1 1 112 17 49 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 49 1 1 113 16 48 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 50 1 1 114 15 47 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 51 1 1 115 14 46 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 52 1 1 116 13 45 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 53 1 1 117 12 44 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 54 1 1 118 11 43 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 55 1 1 119 10 42 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
